country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Brunei,2010,BRN,388634,,,,8.061,0.315,4.07,20.741,,0.19,,,6.509,16.749,,,271.024,,82.219,118.016,70.786,,109158.969,,0.344,0.886,6.126,15.763,23.776,26.992,1.81,4.657,0.14,0.36,1.59,4.092,,,42.423,,0.02,,,0.02,,0.59,0.07,0.01,,0.09,0.1,0.01,,10.49,9.24,-1.552,-19.25
Brunei,2011,BRN,393687,,,,9.545,1.484,18.41,24.244,,0.219,,,7.721,19.611,,,280.568,,82.519,125.303,72.742,,110689.164,,0.3,0.763,7.288,18.511,24.08,24.969,1.86,4.725,0.13,0.33,1.957,4.97,,,43.577,,0.03,,,0.02,,0.58,0.07,0.01,,0.08,0.11,0.02,,9.83,9.48,-1.824,-19.11
Brunei,2012,BRN,398997,,,,9.493,-0.051,-0.54,23.793,,0.224,,,8.33,20.878,,,290.062,,82.834,132.416,74.808,,106168.453,,0.315,0.789,7.113,17.827,23.684,24.562,1.82,4.561,0.15,0.376,2.066,5.177,,,42.361,,0.03,,,0.02,,0.57,0.07,0.02,,0.09,0.11,0.02,,9.8,9.45,-1.163,-12.25
Brunei,2013,BRN,404414,,,,7.628,-1.865,-19.65,18.863,,0.194,,,8.483,20.975,,,297.69,,83.182,138.04,76.464,,97418.609,,0.348,0.861,5.624,13.907,22.848,23.689,1.66,4.105,0.15,0.371,1.656,4.095,,,39.397,,0.02,,,0.02,,0.56,0.07,0.02,,0.09,0.09,0.01,,9.58,9.24,0.854,11.2
Brunei,2014,BRN,409778,,,,8.926,1.297,17,21.781,,0.201,,,9.066,22.123,,,306.616,,83.648,144.811,78.153,,108127.758,,0.465,1.136,6.771,16.524,22.28,23.33,1.68,4.1,0.15,0.366,1.689,4.122,,,44.308,,0.03,,,0.02,,0.55,0.07,0.01,,0.12,0.1,0.01,,9.56,9.13,0.14,1.57
Brunei,2015,BRN,414914,,,,6.954,-1.971,-22.09,16.761,,0.142,,,8.172,19.696,,,313.57,,84.065,149.703,79.798,,118006.609,,0.418,1.007,4.891,11.789,20.221,21.137,1.58,3.808,0.14,0.337,1.645,3.965,,,48.963,,0.02,,,0.02,,0.54,0.07,0.01,,0.11,0.07,0.01,,8.77,8.39,1.218,17.51
Brunei,2016,BRN,419791,,,,7.544,0.59,8.48,17.971,,0.147,,,8.448,20.125,,,321.114,,84.465,155.044,81.602,,121827.531,,0.4,0.952,5.341,12.723,21.511,22.44,1.58,3.764,0.15,0.357,1.804,4.296,,,51.142,,0.02,,,0.02,,0.53,0.07,0.01,,0.1,0.08,0.02,,9.42,9.03,0.904,11.99
Brunei,2017,BRN,424481,,,,9.552,2.008,26.62,22.503,,0.186,,,10.012,23.586,,,330.666,,85.267,161.866,83.529,,120970.172,,0.802,1.89,6.822,16.072,22.38,23.158,1.64,3.864,0.14,0.33,1.927,4.54,,,51.35,,0.03,,,0.02,,0.52,0.07,0.01,,0.19,0.1,0.02,,9.83,9.5,0.46,4.81
Brunei,2018,BRN,428960,,,,9.592,0.04,0.42,22.362,,0.18,,,10.059,23.451,,,340.259,,85.93,168.89,85.434,,124505.18,,0.663,1.546,7.024,16.374,22.869,23.639,1.62,3.777,0.15,0.35,1.905,4.442,,,53.408,,0.03,,,0.02,,0.51,0.07,0.02,,0.16,0.09,0.02,,10.14,9.81,0.467,4.87
Cambodia,2010,KHM,14312205,34988625920,0.37,0.026,5.1,0.543,11.92,0.356,0.146,0.223,0.051,0.004,9.981,0.697,0.285,1.141,60.058,0.524,,,58.393,,1599.824,0.654,,,,,1.946,2.497,20.26,1.416,6.57,0.459,4.679,0.327,,,22.897,0.03,0.02,0,0,0,0,,,0.01,,,,0.04,,35.74,27.85,4.88,95.69
